hesId,status,fullnessPercent,sourceClass,source,provider,method,observedAt,sourcePublishedAt,fetchedAt,freshnessDays,freshnessLabel,confidence,isEstimated,storageType,epiasMatch,dsiMatch,dahitiMatch,hydrowebMatch,copernicusMatch,swotMatch,gRealmMatch,gdwMatch,candidateSourceCount,bestCatalogSource,bestCatalogSourceUrl,bestCatalogDistanceKm,catalogConfidence,fullnessDirectlyAvailable,fullnessCanBeCalculated,reasonUnavailable
hes177-132,stale,36.78924598269469,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-133,stale,80.62657544112353,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-134,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-135,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-136,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-137,stale,92.04579492128997,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-138,stale,81.59713335039672,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,False,0,,,,,False,True,
hes177-140,stale,64.50805969420752,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-141,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-142,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,True,1,,,,,False,False,Doluluk hesabı için hacim verisi eksik
hes177-143,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-145,stale,68.29656371172617,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-146,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,storage,False,False,False,False,False,False,False,False,0,,,,,False,False,Rezervuar eşleşmesi bulunamadı
hes177-148,stale,62.19746446407991,calculated_storage,canonical,Envanter,active-volume/(max-volume-min-volume),2026-09-13,,2026-09-26T16:08:58Z,13,stale,medium,True,storage,False,False,False,False,False,False,False,True,1,,,,,False,True,
hes177-151,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
hes177-152,unavailable,,calculated_storage,canonical,Envanter,no-verified-fullness-source,,,2026-09-26T16:08:58Z,,unknown,low,False,unknown,False,False,False,False,False,False,False,False,0,,,,,False,False,Tesis tipi doğrulanamadı
