topic,folder,source_pptx,source_media,output_file,width,height,format,processing
Dirençli Şebeke Mimarisi,direncli_sebeke_mimarisi,Resilient_Grid_Architecture_(3).pptx,ppt/media/image8.png,direncli_sebeke_mimarisi/direncli_sebeke_mimarisi_08.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Dirençli Şebeke Mimarisi,direncli_sebeke_mimarisi,Resilient_Grid_Architecture_(3).pptx,ppt/media/image9.png,direncli_sebeke_mimarisi/direncli_sebeke_mimarisi_09.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Dirençli Şebeke Mimarisi,direncli_sebeke_mimarisi,Resilient_Grid_Architecture_(3).pptx,ppt/media/image10.png,direncli_sebeke_mimarisi/direncli_sebeke_mimarisi_10.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Dirençli Şebeke Mimarisi,direncli_sebeke_mimarisi,Resilient_Grid_Architecture_(3).pptx,ppt/media/image11.png,direncli_sebeke_mimarisi/direncli_sebeke_mimarisi_11.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Dirençli Şebeke Mimarisi,direncli_sebeke_mimarisi,Resilient_Grid_Architecture_(3).pptx,ppt/media/image12.png,direncli_sebeke_mimarisi/direncli_sebeke_mimarisi_12.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Dirençli Şebeke Mimarisi,direncli_sebeke_mimarisi,Resilient_Grid_Architecture_(3).pptx,ppt/media/image13.png,direncli_sebeke_mimarisi/direncli_sebeke_mimarisi_13.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Dirençli Şebeke Mimarisi,direncli_sebeke_mimarisi,Resilient_Grid_Architecture_(3).pptx,ppt/media/image14.png,direncli_sebeke_mimarisi/direncli_sebeke_mimarisi_14.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Dirençli Şebeke Mimarisi,direncli_sebeke_mimarisi,Resilient_Grid_Architecture_(3).pptx,ppt/media/image15.png,direncli_sebeke_mimarisi/direncli_sebeke_mimarisi_15.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Birleşik Enerji Depolama Stratejisi,birlesik_enerji_depolama_stratejisi,Unified_Energy_Storage_Strategy.pptx,ppt/media/image1.png,birlesik_enerji_depolama_stratejisi/birlesik_enerji_depolama_stratejisi_01.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Birleşik Enerji Depolama Stratejisi,birlesik_enerji_depolama_stratejisi,Unified_Energy_Storage_Strategy.pptx,ppt/media/image2.png,birlesik_enerji_depolama_stratejisi/birlesik_enerji_depolama_stratejisi_02.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Birleşik Enerji Depolama Stratejisi,birlesik_enerji_depolama_stratejisi,Unified_Energy_Storage_Strategy.pptx,ppt/media/image3.png,birlesik_enerji_depolama_stratejisi/birlesik_enerji_depolama_stratejisi_03.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Birleşik Enerji Depolama Stratejisi,birlesik_enerji_depolama_stratejisi,Unified_Energy_Storage_Strategy.pptx,ppt/media/image4.png,birlesik_enerji_depolama_stratejisi/birlesik_enerji_depolama_stratejisi_04.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Birleşik Enerji Depolama Stratejisi,birlesik_enerji_depolama_stratejisi,Unified_Energy_Storage_Strategy.pptx,ppt/media/image5.png,birlesik_enerji_depolama_stratejisi/birlesik_enerji_depolama_stratejisi_05.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Birleşik Enerji Depolama Stratejisi,birlesik_enerji_depolama_stratejisi,Unified_Energy_Storage_Strategy.pptx,ppt/media/image6.png,birlesik_enerji_depolama_stratejisi/birlesik_enerji_depolama_stratejisi_06.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Birleşik Enerji Depolama Stratejisi,birlesik_enerji_depolama_stratejisi,Unified_Energy_Storage_Strategy.pptx,ppt/media/image7.png,birlesik_enerji_depolama_stratejisi/birlesik_enerji_depolama_stratejisi_07.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Birleşik Enerji Depolama Stratejisi,birlesik_enerji_depolama_stratejisi,Unified_Energy_Storage_Strategy.pptx,ppt/media/image8.png,birlesik_enerji_depolama_stratejisi/birlesik_enerji_depolama_stratejisi_08.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Birleşik Enerji Depolama Stratejisi,birlesik_enerji_depolama_stratejisi,Unified_Energy_Storage_Strategy.pptx,ppt/media/image9.png,birlesik_enerji_depolama_stratejisi/birlesik_enerji_depolama_stratejisi_09.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Birleşik Enerji Depolama Stratejisi,birlesik_enerji_depolama_stratejisi,Unified_Energy_Storage_Strategy.pptx,ppt/media/image10.png,birlesik_enerji_depolama_stratejisi/birlesik_enerji_depolama_stratejisi_10.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Birleşik Enerji Depolama Stratejisi,birlesik_enerji_depolama_stratejisi,Unified_Energy_Storage_Strategy.pptx,ppt/media/image11.png,birlesik_enerji_depolama_stratejisi/birlesik_enerji_depolama_stratejisi_11.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Birleşik Enerji Depolama Stratejisi,birlesik_enerji_depolama_stratejisi,Unified_Energy_Storage_Strategy.pptx,ppt/media/image12.png,birlesik_enerji_depolama_stratejisi/birlesik_enerji_depolama_stratejisi_12.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Birleşik Enerji Depolama Stratejisi,birlesik_enerji_depolama_stratejisi,Unified_Energy_Storage_Strategy.pptx,ppt/media/image13.png,birlesik_enerji_depolama_stratejisi/birlesik_enerji_depolama_stratejisi_13.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Birleşik Enerji Depolama Stratejisi,birlesik_enerji_depolama_stratejisi,Unified_Energy_Storage_Strategy.pptx,ppt/media/image14.png,birlesik_enerji_depolama_stratejisi/birlesik_enerji_depolama_stratejisi_14.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
Birleşik Enerji Depolama Stratejisi,birlesik_enerji_depolama_stratejisi,Unified_Energy_Storage_Strategy.pptx,ppt/media/image15.png,birlesik_enerji_depolama_stratejisi/birlesik_enerji_depolama_stratejisi_15.webp,1376,768,webp,NotebookLM bottom-right mark removed; source resolution preserved; WebP quality 95.
